,covariate,oesophagus_theta,oesophagus_theta_0.025,oesophagus_theta_0.975,stomach_theta,stomach_theta_0.025,stomach_theta_0.975,colorectal_theta,colorectal_theta_0.025,colorectal_theta_0.975,liver_theta,liver_theta_0.025,liver_theta_0.975,pancreas_theta,pancreas_theta_0.025,pancreas_theta_0.975,lung_theta,lung_theta_0.025,lung_theta_0.975,melanoma_theta,melanoma_theta_0.025,melanoma_theta_0.975,breast_theta,breast_theta_0.025,breast_theta_0.975,cervix_uteri_theta,cervix_uteri_theta_0.025,cervix_uteri_theta_0.975,corpus_uteri_theta,corpus_uteri_theta_0.025,corpus_uteri_theta_0.975,ovary_theta,ovary_theta_0.025,ovary_theta_0.975,prostate_theta,prostate_theta_0.025,prostate_theta_0.975,testis_theta,testis_theta_0.025,testis_theta_0.975,kidney_theta,kidney_theta_0.025,kidney_theta_0.975,bladder_theta,bladder_theta_0.025,bladder_theta_0.975,brain_theta,brain_theta_0.025,brain_theta_0.975,thyroid_theta,thyroid_theta_0.025,thyroid_theta_0.975,non_hodgkin_lymphoma_theta,non_hodgkin_lymphoma_theta_0.025,non_hodgkin_lymphoma_theta_0.975,multiple_myeloma_theta,multiple_myeloma_theta_0.025,multiple_myeloma_theta_0.975,AML_theta,AML_theta_0.025,AML_theta_0.975,other_theta,other_theta_0.025,other_theta_0.975,death_theta,death_theta_0.025,death_theta_0.975
0,A00 Cholera,-0.0039154114201664925,-0.17713713645935059,0.16930635273456573,-0.005611270200461149,-0.17852288484573364,0.16730038821697235,-0.004461677744984627,-0.1773652881383896,0.1684419810771942,-0.002585244132205844,-0.17576156556606293,0.17059111595153809,-0.004457751289010048,-0.17750929296016693,0.16859382390975952,-0.009387376718223095,-0.18247078359127045,0.1636960804462433,-0.0029806760139763355,-0.1761600524187088,0.1701987385749817,-0.002988935448229313,-0.17608249187469482,0.17010466754436493,0.0006166998646222055,-0.17249585688114166,0.1737293004989624,-0.002313364762812853,-0.1755666434764862,0.17093996703624725,0.0020200619474053383,-0.17102763056755066,0.17506779730319977,-0.003330807900056243,-0.17623403668403625,0.16957244277000427,-0.0005451824981719255,-0.17365430295467377,0.17256397008895874,0.0020671349484473467,-0.1711038053035736,0.17523811757564545,0.0008342377259396017,-0.17222236096858978,0.1738908886909485,-0.00015271415759343654,-0.1730550229549408,0.17274966835975647,0.0007916283793747425,-0.17227739095687866,0.17386068403720856,0.0006408861954696476,-0.17246632277965546,0.17374813556671143,-0.003475323785096407,-0.17655280232429504,0.16960221529006958,0.0029381699860095978,-0.17014551162719727,0.17602188885211945,0.004532311577349901,-0.17570509016513824,0.18476973474025726,0.007446698844432831,-0.1727014183998108,0.18759483098983765
1,A01 Typhoid and paratyphoid fevers,-0.002188565442338586,-0.19474568963050842,0.19036860764026642,0.002627214416861534,-0.18982866406440735,0.1950831115245819,-0.0066861240193247795,-0.19932085275650024,0.18594865500926971,0.0038138488307595253,-0.18864330649375916,0.19627106189727783,0.006291498895734549,-0.18613503873348236,0.19871807098388672,0.006710102315992117,-0.1852845847606659,0.19870483875274658,0.009510025382041931,-0.1835203319787979,0.20254041254520416,0.008692624047398567,-0.18395669758319855,0.20134198665618896,-0.0015395010123029351,-0.19394105672836304,0.19086210429668427,-0.008582132868468761,-0.20105694234371185,0.18389272689819336,-0.0006915574194863439,-0.19330382347106934,0.19192072749137878,-0.02328660897910595,-0.21559013426303864,0.1690169870853424,0.004231724888086319,-0.18828430771827698,0.1967478096485138,0.000584240653552115,-0.1919967532157898,0.19316530227661133,-0.006290180142968893,-0.19861866533756256,0.18603834509849548,-0.00479615293443203,-0.19716176390647888,0.1875695288181305,-0.0004161459219176322,-0.19303447008132935,0.19220222532749176,-0.006205873563885689,-0.19867563247680664,0.18626391887664795,0.003288356587290764,-0.18911248445510864,0.19568926095962524,-0.0034550714772194624,-0.19595247507095337,0.1890423744916916,-0.000761483155656606,-0.2014193832874298,0.1998964548110962,0.002677640412002802,-0.1978849619626999,0.203240305185318
2,A02 Other Salmonella infections,0.0011919466778635979,-0.19407492876052856,0.1964588612318039,0.026494912803173065,-0.16893669962882996,0.22192656993865967,-0.02101827785372734,-0.21842060983181,0.1763841062784195,-0.004562441725283861,-0.1996377557516098,0.19051292538642883,-0.013580059632658958,-0.20836038887500763,0.181200310587883,0.009706104174256325,-0.1815578043460846,0.20097006857395172,0.05265956372022629,-0.1430031657218933,0.24832230806350708,0.01210047584027052,-0.1801937222480774,0.20439471304416656,-0.007969166152179241,-0.2029534876346588,0.18701519072055817,-0.00491360854357481,-0.20046746730804443,0.19064030051231384,0.01783338189125061,-0.1774263232946396,0.21309314668178558,-0.03510328754782677,-0.22843460738658905,0.1582280993461609,-0.02100227400660515,-0.2170308530330658,0.17502635717391968,-0.0016587738646194339,-0.1969423145055771,0.193624809384346,-0.014414976350963116,-0.2092350572347641,0.1804051548242569,0.011872359551489353,-0.184615820646286,0.20836061239242554,-0.000703361933119595,-0.19612376391887665,0.19471706449985504,0.004805609118193388,-0.1902988702058792,0.19991014897823334,-0.015423179604113102,-0.2114301323890686,0.18058381974697113,0.016888581216335297,-0.1786036193370819,0.21238082647323608,0.004517599940299988,-0.19942505657672882,0.20846030116081238,0.005615903530269861,-0.19782492518424988,0.2090567797422409
3,A03 Shigellosis,-0.0033273459412157536,-0.18670311570167542,0.18004848062992096,-0.0017713304841890931,-0.18502777814865112,0.1814851611852646,-0.005915290210396051,-0.18940621614456177,0.17757569253444672,-0.00519753061234951,-0.18843360245227814,0.1780385971069336,-0.006018712650984526,-0.18932445347309113,0.17728707194328308,-0.010121840052306652,-0.19377830624580383,0.17353469133377075,-0.0018164649372920394,-0.1852433830499649,0.18161049485206604,0.0028843844775110483,-0.17958973348140717,0.18535855412483215,0.002570543671026826,-0.18056251108646393,0.18570363521575928,-0.004056449979543686,-0.18744906783103943,0.17933620512485504,0.005344850476831198,-0.1780102699995041,0.18870002031326294,0.00326333730481565,-0.17926475405693054,0.1857914924621582,-0.006763017736375332,-0.19000254571437836,0.17647656798362732,-0.00045502418652176857,-0.18377088010311127,0.18286088109016418,0.0021017794497311115,-0.18138152360916138,0.1855851262807846,-0.007412915583699942,-0.19055792689323425,0.17573215067386627,0.0037588838022202253,-0.17942571640014648,0.18694351613521576,-0.002425013342872262,-0.18589511513710022,0.18104512989521027,0.0006063313921913505,-0.1825740486383438,0.18378674983978271,0.0027544936165213585,-0.1805623322725296,0.18607136607170105,-0.00156984303612262,-0.192543625831604,0.18940399587154388,-0.00865971576422453,-0.19966326653957367,0.18234390020370483
4,A04 Other bacterial intestinal infections,0.003856900380924344,-0.19279633462429047,0.200510174036026,0.009492184966802597,-0.1863325834274292,0.20531700551509857,-0.08354908972978592,-0.2809223234653473,0.11382419615983963,0.031277041882276535,-0.16673193871974945,0.2292860746383667,0.029350413009524345,-0.16671288013458252,0.2254137545824051,-0.08184725791215897,-0.2782776951789856,0.11458323150873184,0.011190981604158878,-0.18376001715660095,0.20614202320575714,-0.0018840968841686845,-0.19395719468593597,0.19018903374671936,-0.004888711962848902,-0.20156453549861908,0.19178716838359833,-0.022774027660489082,-0.21942101418972015,0.17387300729751587,-0.006431621965020895,-0.20287901163101196,0.19001582264900208,0.042979493737220764,-0.15272043645381927,0.23867946863174438,0.017938971519470215,-0.1791410595178604,0.21501906216144562,0.02183259092271328,-0.17605526745319366,0.2197204828262329,-0.009179174900054932,-0.20473095774650574,0.18637265264987946,0.011382535099983215,-0.18546870350837708,0.2082338184118271,0.004199414514005184,-0.19252297282218933,0.20092184841632843,0.002429520944133401,-0.1933598518371582,0.1982189267873764,-0.008832120336592197,-0.20561981201171875,0.1879555881023407,0.011630686931312084,-0.18546085059642792,0.2087222784757614,0.006638652179390192,-0.19858503341674805,0.21186240017414093,0.026265280321240425,-0.17714877426624298,0.2296793907880783
5,A05 Other bacterial foodborne intoxications,0.00861598365008831,-0.18085496127605438,0.19808697700500488,-0.0062590353190898895,-0.19556041061878204,0.18304236233234406,0.015159815549850464,-0.17374952137470245,0.20406919717788696,0.002301118103787303,-0.18713071942329407,0.1917329877614975,-0.001851512584835291,-0.19110605120658875,0.18740306794643402,0.002291550626978278,-0.1871800273656845,0.19176316261291504,0.009494014084339142,-0.17963099479675293,0.1986190676689148,-0.01766211912035942,-0.20727474987506866,0.1719505339860916,0.0009594351286068559,-0.18824243545532227,0.19016136229038239,-0.003098459681496024,-0.19241029024124146,0.186213418841362,-0.0019879487808793783,-0.19121003150939941,0.18723417818546295,-0.0005190009251236916,-0.18973594903945923,0.18869797885417938,0.0025165132246911526,-0.18688830733299255,0.1919213831424713,-0.0002507392782717943,-0.18954718112945557,0.1890457421541214,-0.008272577077150345,-0.19759966433048248,0.18105456233024597,0.0006217168993316591,-0.18865378201007843,0.18989726901054382,0.003586119506508112,-0.1857398897409439,0.19291216135025024,-0.0065063973888754845,-0.19574062526226044,0.1827278733253479,-0.0014858319191262126,-0.1907547563314438,0.1877831518650055,-0.00552136916667223,-0.19491611421108246,0.18387342989444733,0.006017190404236317,-0.191264808177948,0.20329925417900085,0.00801923219114542,-0.18926949799060822,0.20530804991722107
6,A06 Amoebiasis,-0.007331292610615492,-0.2000422179698944,0.18537968397140503,-0.0010403288761153817,-0.1934853345155716,0.19140473008155823,-0.02221008762717247,-0.21527446806430817,0.1708543300628662,-0.0030346415005624294,-0.19574178755283356,0.1896725594997406,0.014468146488070488,-0.17792092263698578,0.20685724914073944,-0.009758668951690197,-0.20318102836608887,0.1836637407541275,0.01994374580681324,-0.17280445992946625,0.2126920074224472,-0.0016963599482551217,-0.19368933141231537,0.19029664993286133,0.006795546505600214,-0.18591848015785217,0.1995096206665039,0.009606460109353065,-0.18287354707717896,0.20208652317523956,0.0022155221085995436,-0.19026793539524078,0.1946990191936493,0.01260231900960207,-0.17801304161548615,0.20321771502494812,-0.0032923317048698664,-0.19601179659366608,0.18942715227603912,-0.002578982152044773,-0.19522671401500702,0.19006876647472382,-0.004193934611976147,-0.19656851887702942,0.18818069994449615,0.012767668813467026,-0.17997920513153076,0.2055145800113678,-0.0028849903028458357,-0.19552066922187805,0.1897507607936859,-0.0065695056691765785,-0.19933532178401947,0.18619637191295624,0.0007150748278945684,-0.1919359713792801,0.1933661848306656,-0.002996731549501419,-0.19566485285758972,0.18967145681381226,-0.0007097458001226187,-0.20151449739933014,0.2000950574874878,-0.008430056273937225,-0.20933890342712402,0.19247883558273315
7,A07 Other protozoal intestinal diseases,0.0011592174414545298,-0.1927637755870819,0.19508227705955505,0.0008145554456859827,-0.192657470703125,0.19428662955760956,0.0032686805352568626,-0.18963690102100372,0.19617430865764618,-0.007924145087599754,-0.2016112059354782,0.18576298654079437,0.008728821761906147,-0.1846928596496582,0.20215056836605072,-0.029237981885671616,-0.22302742302417755,0.1645514965057373,-0.004100761376321316,-0.19812795519828796,0.18992649018764496,-0.015139658004045486,-0.20861183106899261,0.17833256721496582,0.015683617442846298,-0.17813129723072052,0.2094985991716385,-0.0014003799296915531,-0.19481222331523895,0.1920115053653717,-0.012298958376049995,-0.20579256117343903,0.18119469285011292,0.013810968026518822,-0.17895425856113434,0.20657622814178467,0.007541578728705645,-0.18579134345054626,0.20087455213069916,-0.0033265866804867983,-0.1972471922636032,0.19059407711029053,0.003712500212714076,-0.1896788328886032,0.19710388779640198,-0.004434195347130299,-0.19797587394714355,0.1891075223684311,-0.002833455102518201,-0.19638226926326752,0.19071540236473083,-0.013297755271196365,-0.20661602914333344,0.18002057075500488,-0.004878735635429621,-0.19849377870559692,0.18873639404773712,0.006991672329604626,-0.18683913350105286,0.20082253217697144,0.016243252903223038,-0.18558451533317566,0.21807105839252472,-0.011761552654206753,-0.21346557140350342,0.18994253873825073
8,A08 Viral and other specified intestinal infections,-0.008920189924538136,-0.208786740899086,0.19094641506671906,-0.04319927096366882,-0.2452535778284073,0.15885509550571442,0.04069576784968376,-0.15586350858211517,0.23725509643554688,-0.00949412677437067,-0.2095049023628235,0.19051669538021088,0.004619602579623461,-0.1944945603609085,0.20373383164405823,0.02786683291196823,-0.16601300239562988,0.22174671292304993,0.004097713157534599,-0.1939363330602646,0.20213182270526886,-0.005447761155664921,-0.20392824709415436,0.19303278625011444,0.02114802785217762,-0.17910915613174438,0.2214052677154541,-0.026412570849061012,-0.22695527970790863,0.1741301715373993,-0.020421989262104034,-0.220246821641922,0.1794028878211975,-0.007599790580570698,-0.2061339169740677,0.190934419631958,0.022538503631949425,-0.1776551455259323,0.22273221611976624,-0.02459849789738655,-0.22469641268253326,0.17549948394298553,-0.046605125069618225,-0.24700868129730225,0.15379847586154938,0.025867566466331482,-0.17391711473464966,0.2256523072719574,-0.015418950468301773,-0.21575285494327545,0.18491503596305847,-0.008489323779940605,-0.20849786698818207,0.19151926040649414,-0.028538035228848457,-0.2290031462907791,0.17192715406417847,0.0019763249438256025,-0.19813324511051178,0.2020859569311142,0.006996141280978918,-0.20161300897598267,0.21560536324977875,-0.02440575510263443,-0.23118799924850464,0.18237656354904175
9,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,-0.028790874406695366,-0.21660718321800232,0.15902546048164368,-0.024125270545482635,-0.21087637543678284,0.16262587904930115,-0.013965565711259842,-0.17548289895057678,0.14755180478096008,0.01527180802077055,-0.17324073612689972,0.20378440618515015,0.042649999260902405,-0.1439937949180603,0.2292938381433487,-0.07300720363855362,-0.22716748714447021,0.08115311712026596,0.11689870804548264,-0.06687960773706436,0.300677090883255,0.03007410652935505,-0.12978950142860413,0.1899377554655075,0.0255835372954607,-0.15989942848682404,0.21106654405593872,-0.03944641351699829,-0.2276773750782013,0.1487846076488495,0.010367019101977348,-0.17480522394180298,0.19553929567337036,0.011944489553570747,-0.1543019413948059,0.17819096148014069,0.052034538239240646,-0.13837818801403046,0.24244731664657593,0.029257716611027718,-0.15804319083690643,0.21655866503715515,-0.019704775884747505,-0.20410723984241486,0.16469775140285492,0.08401314914226532,-0.10893085598945618,0.2769572138786316,-0.004762701224535704,-0.19471177458763123,0.18518643081188202,-0.03762424364686012,-0.22328422963619232,0.14803580939769745,0.024436701089143753,-0.16542768478393555,0.21430113911628723,0.012973437085747719,-0.17802643775939941,0.20397336781024933,0.08014891296625137,-0.11744167655706406,0.27773958444595337,0.04390021413564682,-0.14592036604881287,0.2337208390235901
